IP_Address	City	Region	Country	Latitude	Longitude
116.203.42.1	None	None	DE	51.2993	9.491
24.15.134.1	Bolingbrook	Illinois	US	41.6984	-88.0825
192.99.232.2	None	None	CA	43.6319	-79.3716
73.234.126.3	Manchester	New Hampshire	US	42.9621	-71.449
69.167.12.4	New York	New York	US	40.7683	-73.9802
83.167.27.4	Ekaterinburg	Sverdlovskaya Oblast'	RU	56.8577	60.611
198.84.175.4	Guelph	Ontario	CA	43.5698	-80.2421
204.8.15.5	McCordsville	Indiana	US	39.909	-85.9235
73.205.45.5	Fort Lauderdale	Florida	US	26.099	-80.1822
212.51.159.5	Winterthur	Zurich	CH	47.5056	8.7241
97.88.189.5	Cape Girardeau	Missouri	US	37.3175	-89.5459
182.138.226.5	Chengdu	Sichuan	CN	30.6667	104.0667
163.172.237.5	None	None	GB	51.4964	-0.1224
51.15.178.6	None	None	FR	48.8582	2.3387
79.27.205.6	Pisa	Tuscany	IT	43.7085	10.4036
198.1.231.6	Trois-Rivières	Quebec	CA	46.316	-72.6833
54.37.78.7	None	None	FR	48.8582	2.3387
180.212.91.7	None	None	CN	34.7725	113.7266
172.97.152.7	North York	Ontario	CA	43.7816	-79.4193
178.55.178.7	Lahti	Paijat-Hame	FI	61.0047	25.5906
95.168.216.7	None	None	CZ	50.0848	14.4112
95.223.180.8	Duisburg	North Rhine-Westphalia	DE	51.4797	6.7309
87.119.210.8	None	None	DE	51.2993	9.491
194.54.88.9	None	None	UA	50.4522	30.5287
35.236.88.9	None	None	US	37.751	-97.822
161.230.94.9	Paco de Sousa	Porto	PT	41.1703	-8.3459
213.246.108.9	None	None	GB	51.4964	-0.1224
45.79.179.9	Newark	New Jersey	US	40.739	-74.1697
95.216.189.9	None	None	DE	51.2993	9.491
85.10.211.9	None	None	DE	51.2993	9.491
31.11.218.9	Jelenia Góra	Lower Silesia	PL	50.8916	15.739
206.189.228.9	New York	New York	US	40.7145	-74.0029
158.174.30.10	Sollentuna	Stockholm	SE	59.431	17.9621
147.135.131.10	None	None	FR	48.8582	2.3387
213.233.176.10	None	None	IR	35.698	51.4115
192.99.181.10	None	None	CA	43.6319	-79.3716
50.39.189.10	Beaverton	Oregon	US	45.5221	-122.8585
176.9.2.11	None	None	DE	51.2993	9.491
176.9.2.11	None	None	DE	51.2993	9.491
62.138.24.11	None	None	DE	51.2993	9.491
147.135.131.11	None	None	FR	48.8582	2.3387
116.203.188.11	None	None	DE	51.2993	9.491
72.230.237.11	Canandaigua	New York	US	42.87	-77.2791
213.204.45.12	Mariehamn	None	AX	60.1	19.95
76.122.186.12	White Lake	Michigan	US	42.641	-83.4742
13.66.216.12	None	Washington	US	47.6092	-122.3314
151.74.48.13	Enna	Sicily	IT	37.5609	14.2724
95.216.163.13	None	None	DE	51.2993	9.491
51.68.220.13	None	None	FR	48.8582	2.3387
190.19.223.13	Monte Grande	Buenos Aires	AR	-34.815	-58.4792
139.162.46.14	None	None	SG	1.3667	103.8
192.119.163.14	San Jose	California	US	37.3388	-121.8914
174.99.225.14	Apex	North Carolina	US	35.7178	-78.8428
83.86.246.14	Capelle aan den IJssel	South Holland	NL	51.9514	4.5848
71.233.96.15	New Haven	Connecticut	US	41.3186	-72.9302
62.171.167.15	Nuremberg	Bavaria	DE	49.405	11.1617
81.35.169.15	Valencia	Valencia	ES	39.4705	-0.3765
162.210.173.15	None	None	US	37.751	-97.822
5.9.20.16	None	None	DE	51.2993	9.491
93.178.50.16	Riyadh	Ar Riyāḑ	SA	24.6537	46.7152
70.183.53.16	Tulsa	Oklahoma	US	36.0954	-95.9223
67.160.166.16	Salem	Oregon	US	44.9036	-123.0461
199.126.27.17	Red Deer	Alberta	CA	52.2424	-113.7775
81.134.68.17	Liverpool	England	GB	53.4084	-2.8379
80.83.124.17	Düsseldorf	North Rhine-Westphalia	DE	51.2705	6.8144
195.154.173.17	None	None	FR	48.8582	2.3387
195.154.173.17	None	None	FR	48.8582	2.3387
67.173.23.19	Chicago	Illinois	US	41.9704	-87.7036
165.22.46.19	Clifton	New Jersey	US	40.8364	-74.1403
195.147.56.19	None	None	GB	51.4964	-0.1224
37.6.72.19	Athens	Attica	GR	37.9842	23.7353
185.117.74.19	None	None	NL	52.3824	4.8995
51.75.159.19	None	None	FR	48.8582	2.3387
188.120.197.19	České Budějovice	Jihocesky kraj	CZ	48.8966	14.466
83.199.204.19	Paris	Île-de-France	FR	48.8543	2.3527
212.32.255.19	Purmerend	North Holland	NL	52.5086	4.9706
24.76.205.20	Winnipeg	Manitoba	CA	49.7834	-97.1036
47.93.219.20	None	None	CN	34.7725	113.7266
172.104.76.21	Tokyo	Tokyo	JP	35.6882	139.7532
80.242.124.21	Banja Luka	Republika Srpska	BA	44.776	17.1995
192.99.11.22	Mississauga	Ontario	CA	43.5639	-79.7172
104.248.89.22	Amsterdam	North Holland	NL	52.3534	4.9087
89.39.107.22	None	None	NL	52.3824	4.8995
47.100.125.22	None	None	CN	34.7725	113.7266
62.210.220.22	None	None	FR	48.8582	2.3387
84.209.11.23	Oslo	Oslo County	NO	59.8468	10.7747
148.251.192.23	None	None	DE	51.2993	9.491
84.194.106.24	Herselt	Flanders	BE	51.0516	4.8823
37.191.196.24	Oslo	Oslo County	NO	59.8468	10.7747
172.88.210.24	Yorba Linda	California	US	33.9075	-117.7866
73.0.216.24	Miami	Florida	US	25.6062	-80.3452
185.64.106.25	None	None	LT	56.0	24.0
219.73.34.26	Kowloon	Kowloon City	HK	22.3137	114.1837
94.72.143.26	None	None	BG	42.696	23.332
34.82.207.26	None	None	US	37.751	-97.822
144.217.224.26	Beauharnois	Quebec	CA	45.3161	-73.8736
144.217.224.26	Beauharnois	Quebec	CA	45.3161	-73.8736
51.79.51.27	None	None	CA	43.6319	-79.3716
51.79.51.27	None	None	CA	43.6319	-79.3716
72.189.56.27	Kissimmee	Florida	US	28.3056	-81.4197
185.189.112.27	Frankfurt am Main	Hesse	DE	50.1049	8.6295
188.120.197.27	České Budějovice	Jihocesky kraj	CZ	48.8966	14.466
120.24.200.27	None	None	CN	34.7725	113.7266
51.79.51.28	None	None	CA	43.6319	-79.3716
144.217.241.28	Beauharnois	Quebec	CA	45.3161	-73.8736
144.217.241.28	Beauharnois	Quebec	CA	45.3161	-73.8736
151.74.43.29	Pozzallo	Sicily	IT	36.7303	14.8467
65.28.183.29	Brookfield	Wisconsin	US	43.0656	-88.145
95.215.19.30	None	None	SE	59.3247	18.056
51.15.96.30	Amsterdam	North Holland	NL	52.3534	4.9087
84.22.164.30	Harrow	England	GB	51.6144	-0.3368
213.239.221.30	Stuttgart	Baden-Württemberg	DE	48.7662	9.1833
50.93.229.30	Norton	Kansas	US	39.8407	-99.8878
45.63.18.31	Matawan	New Jersey	US	40.4652	-74.2307
147.135.37.31	Hillsboro	Oregon	US	45.5397	-122.9638
147.135.37.31	Hillsboro	Oregon	US	45.5397	-122.9638
62.210.104.31	None	None	FR	48.8582	2.3387
147.92.107.31	Ypsilanti	Michigan	US	42.2196	-83.6046
24.111.107.31	Rapid City	South Dakota	US	44.1415	-103.2052
24.193.226.31	New York	New York	US	40.7428	-73.9712
24.95.42.32	Belpre	Ohio	US	39.2868	-81.5968
188.209.49.32	None	None	NL	52.3824	4.8995
91.152.122.32	Jyväskylä	Central Finland	FI	62.2406	25.7467
147.135.129.32	None	None	FR	48.8582	2.3387
46.242.131.32	None	None	PL	52.2394	21.0362
178.79.154.32	London	England	GB	51.5132	-0.0961
142.44.163.32	Montreal	Quebec	CA	45.5302	-73.6331
108.60.179.32	Regina	Saskatchewan	CA	50.4481	-104.6126
72.66.64.33	Herndon	Virginia	US	38.9841	-77.3672
68.35.160.33	Huntsville	Alabama	US	34.7446	-86.6714
80.15.161.33	Paris	Île-de-France	FR	48.8543	2.3527
52.56.222.33	London	England	GB	51.5132	-0.0961
115.64.8.34	Melbourne	Victoria	AU	-37.8071	144.9516
185.185.24.34	None	None	DE	51.2993	9.491
116.203.80.35	None	None	DE	51.2993	9.491
5.9.121.35	None	None	DE	51.2993	9.491
147.135.136.35	None	None	FR	48.8582	2.3387
184.75.221.35	Toronto	Ontario	CA	43.6934	-79.4857
217.79.21.36	Samara	Samara Oblast	RU	53.1813	50.1218
146.0.35.36	None	None	DE	51.2993	9.491
79.137.53.36	None	None	FR	48.8582	2.3387
159.69.245.36	Nuremberg	Bavaria	DE	49.4419	11.0797
88.146.50.37	Prague	Hlavni mesto Praha	CZ	50.0766	14.5148
116.203.80.37	None	None	DE	51.2993	9.491
91.122.191.37	Vsevolozhsk	Leningradskaya Oblast'	RU	60.0153	30.6756
192.121.87.38	Chisinau	Chișinău Municipality	MD	47.0052	28.8573
139.99.125.38	None	None	CA	43.6319	-79.3716
82.221.131.38	None	None	IS	65.0	-18.0
51.68.209.38	None	None	FR	48.8582	2.3387
174.127.244.38	Redmond	Washington	US	47.6722	-122.1257
83.217.67.39	None	None	BE	50.8509	4.3447
219.251.180.39	Sejong	Sejong-si	KR	36.6112	127.2944
49.50.220.39	Auckland	Auckland	NZ	-36.8506	174.7679
74.140.6.40	Columbus	Ohio	US	40.0233	-83.0859
118.107.10.40	Tokyo	Tokyo	JP	35.6882	139.7532
87.240.20.40	Lobnya	Moscow Oblast	RU	56.0097	37.4819
18.210.126.40	Ashburn	Virginia	US	39.0481	-77.4728
51.77.136.40	None	None	FR	48.8582	2.3387
82.33.184.40	Croydon	England	GB	51.3488	-0.0321
