19 tx(es), 48570 bytes total (min 1770, max 6748, avg 2556, median 2601)
fees 0.000939550000 (avg 0.000049450000 per tx, 0.000000019344 per byte)
0 double spends, 0 not relayed, 0 failing, 0 older than 10 minutes (oldest 6 minutes ago), no backlog
   Age      Txes       Bytes
00:00:00       3        8639
00:00:37       0           0
00:01:14       1        2605
00:01:51       1        2605
00:02:29       2        4378
00:03:06       1        1776
00:03:43       4        7929
00:04:21       2        5142
00:04:58       2        9350
00:05:35       3        6146
