2019-06-09 14:23:52.503	        76c88310	INFO 	logging	contrib/epee/src/mlog.cpp:277	New log categories: *:WARNING,net:FATAL,net.http:FATAL,net.p2p:FATAL,net.cn:FATAL,global:INFO,verify:FATAL,stacktrace:INFO,logging:INFO,msgwriter:INFO
2019-06-09 14:23:52.503	        76c88310	INFO 	logging	contrib/epee/src/mlog.cpp:277	New log categories: *:INFO,global:INFO,stacktrace:INFO,logging:INFO,msgwriter:INFO
2019-06-09 14:23:52.504	        76c88310	INFO 	global	src/daemon/main.cpp:287	Monero 'Boron Butterfly' (v0.14.0.2-release)
2019-06-09 14:23:52.504	        76c88310	INFO 	daemon	src/daemon/main.cpp:289	Moving from main() into the daemonize now.
2019-06-09 14:23:52.505	        76c88310	INFO 	msgwriter	src/common/scoped_message_writer.h:102	Forking to background...
2019-06-09 14:23:52.507	        76c88310	WARN 	daemon	src/daemon/executor.cpp:61	Monero 'Boron Butterfly' (v0.14.0.2-release) Daemonised
2019-06-09 14:23:52.513	        76c88310	INFO 	global	src/daemon/protocol.h:53	Initializing cryptonote protocol...
2019-06-09 14:23:52.513	        76c88310	INFO 	global	src/daemon/protocol.h:58	Cryptonote protocol initialized OK
2019-06-09 14:23:52.522	        76c88310	INFO 	global	src/daemon/p2p.h:63	Initializing p2p server...
2019-06-09 14:23:52.523	        76c88310	INFO 	net.throttle	contrib/epee/src/network_throttle-detail.cpp:162	Setting LIMIT: 2048 kbps
2019-06-09 14:23:52.525	        76c88310	INFO 	net.p2p	src/p2p/net_node.inl:1929	Set limit-up to 2048 kB/s
2019-06-09 14:23:52.525	        76c88310	INFO 	net.throttle	contrib/epee/src/network_throttle-detail.cpp:162	Setting LIMIT: 8192 kbps
2019-06-09 14:23:52.525	        76c88310	INFO 	net.throttle	contrib/epee/src/network_throttle-detail.cpp:162	Setting LIMIT: 8192 kbps
2019-06-09 14:23:52.525	        76c88310	INFO 	net.p2p	src/p2p/net_node.inl:1942	Set limit-down to 8192 kB/s
2019-06-09 14:23:52.525	        76c88310	INFO 	net.throttle	contrib/epee/src/network_throttle-detail.cpp:162	Setting LIMIT: 2048 kbps
2019-06-09 14:23:52.525	        76c88310	INFO 	net.p2p	src/p2p/net_node.inl:1964	Set limit-up to 2048 kB/s
2019-06-09 14:23:52.525	        76c88310	INFO 	net.throttle	contrib/epee/src/network_throttle-detail.cpp:162	Setting LIMIT: 8192 kbps
2019-06-09 14:23:52.525	        76c88310	INFO 	net.throttle	contrib/epee/src/network_throttle-detail.cpp:162	Setting LIMIT: 8192 kbps
2019-06-09 14:23:52.526	        76c88310	INFO 	net.p2p	src/p2p/net_node.inl:1968	Set limit-down to 8192 kB/s
2019-06-09 14:23:52.528	        75484450	INFO 	net.dns	src/common/dns_utils.cpp:252	adding trust anchor: . IN DS 19036 8 2 49AAC11D7B6F6446702E54A1607371607A1A41855200FD2CE1CDDE32F24E8FB5

2019-06-09 14:23:52.528	        75484450	INFO 	net.dns	src/common/dns_utils.cpp:252	adding trust anchor: . IN DS 20326 8 2 E06D44B80B8F1D39A95C0B0D7C65D08458E880409BBC683457104237C7F8EC8D

2019-06-09 14:23:52.809	        76c87450	INFO 	net.p2p	src/p2p/net_node.inl:481	dns_threads[0] addr_str: seeds.moneroseeds.se  number of results: 0
2019-06-09 14:23:52.818	        75484450	INFO 	net.p2p	src/p2p/net_node.inl:481	dns_threads[3] addr_str: seeds.moneroseeds.li  number of results: 0
2019-06-09 14:23:52.854	        75c85450	INFO 	net.p2p	src/p2p/net_node.inl:481	dns_threads[2] addr_str: seeds.moneroseeds.ch  number of results: 0
2019-06-09 14:23:53.168	        76486450	INFO 	net.p2p	src/p2p/net_node.inl:481	dns_threads[1] addr_str: seeds.moneroseeds.ae.org  number of results: 0
2019-06-09 14:23:53.168	        76c88310	INFO 	net.p2p	src/p2p/net_node.inl:519	DNS seed node lookup either timed out or failed, falling back to defaults
2019-06-09 14:23:53.168	        76c88310	INFO 	net.p2p	src/p2p/net_node.inl:360	Resolving node address: host=107.152.130.98, port=18080
2019-06-09 14:23:53.169	        76c88310	INFO 	net.p2p	src/p2p/net_node.inl:377	Added node: 107.152.130.98:18080
